BFH-Praktika	Binary_to_BCD_converter	-1	-	binvalue
BFH-Praktika	BCD_to_7_Segment_decoder	8	OUT:1,OUT:1,OUT:1,OUT:1,OUT:1,OUT:1,OUT:1,IN:4	dummy
Input/Output-Extra	Switch	-1	-	facing,width,color,label,labelloc,labelfont
Input/Output-Extra	Buzzer	-1	-	facing,selloc,freq_measure,vol_width,label,labelfont,waveform,channel,smooth_level,smooth_width
Input/Output-Extra	Slider	1	OUT:1	facing,width,radix,color,label,labelfont,labelvisible,Direction
Input/Output-Extra	Digital Oscilloscope	-1	-	inputs,nState,frontlines,showclock,color,label,labelloc,labelfont
Input/Output-Extra	PlaRom	-1	-	inputs,and,outputs,label,labelfont,labelvisible,Contents,Select
Soc	Rv32im	-1	-	resetVector,irqWidth,plicBaseAddress,stateVisible,label,labelfont,labelvisible,SocBusSelection,dummy,dummy
Soc	Nios2	-1	-	resetVector,exceptionVector,breakVector,irqWidth,stateVisible,label,labelfont,labelvisible,SocBusSelection,dummy
Soc	SocBus	-1	-	TraceSize,TraceVisible,label,labelfont,labelvisible,SocBusIdentifier
Soc	Socmem	-1	-	StartAddress,MemSize,label,labelfont,labelvisible,SocBusSelection,dummy
Soc	SocPio	-1	-	StartAddress,width,direction,inputssynccapt,genirq,label,labelfont,labelvisible,SocBusSelection,dummy
Soc	SocVga	-1	-	StartAddress,DisplayMode,BufferAddress,soft160x120,soft320x240,soft640x480,soft800x600,soft1024x768,label,labelfont,labelvisible,SocBusSelection,dummy
Soc	SocDma	-1	-	StartAddress,BurstSize,label,labelfont,labelvisible,SocBusSelection,DmaSrcBus,DmaDstBus,dummy
Soc	SocJtagUart	-1	-	StartAddress,WriteFifoSize,WriteThreshold,ReadFifoSize,ReadThreshold,label,labelfont,labelvisible,SocBusSelection,dummy
