TOOL	TTL	74241	74241: octal buffers with three-state outputs and complementary enables	74241	com.cburch.logisim.std.ttl.Ttl74241
TOOL	TTL	74244	74244: octal buffers with three-state outputs	74244	com.cburch.logisim.std.ttl.Ttl74244
TOOL	TTL	74245	74245: octal bus transceivers with three-state outputs	74245	com.cburch.logisim.std.ttl.Ttl74245
TOOL	TTL	74266	74266: quad 2-input XNOR gate (open-collector)	74266	com.cburch.logisim.std.ttl.Ttl74266
TOOL	TTL	74273	74273: octal D-Flipflop with clear	74273	com.cburch.logisim.std.ttl.Ttl74273
TOOL	TTL	74283	74283: 4-bit binary full adder	74283	com.cburch.logisim.std.ttl.Ttl74283
TOOL	TTL	74299	74299: 8-bit universal shift register with three-state outputs	74299	com.cburch.logisim.std.ttl.Ttl74299
TOOL	TTL	74377	74377: octal D-Flipflop with enable	74377	com.cburch.logisim.std.ttl.Ttl74377
TOOL	TTL	74381	74381: arithmetic logic unit (ALU)	74381	com.cburch.logisim.std.ttl.Ttl74381
TOOL	TTL	74541	74541: Octal buffers with three-state outputs	74541	com.cburch.logisim.std.ttl.Ttl74541
TOOL	TTL	74670	74670: 4-by-4 register file with three-state outputs	74670	com.cburch.logisim.std.ttl.Ttl74670
TOOL	TTL	747266	747266: quad 2-input XNOR gate	747266	com.cburch.logisim.std.ttl.Ttl747266
LIB	Builtin	HDL-IP	HDL-IP
TOOL	HDL-IP	VHDL Entity	VHDL Entity	VHDL Entity	com.cburch.logisim.std.hdl.VhdlEntityComponent
TOOL	HDL-IP	BLIFCircuit	BLIF Component	BLIF Component	com.cburch.logisim.std.hdl.BlifCircuitComponent
LIB	Builtin	TCL	TCL
TOOL	TCL	TclConsoleReds	TCL REDS console	TCL REDS console	com.cburch.logisim.std.tcl.TclConsoleReds
TOOL	TCL	TclGeneric	TCL generic	TCL generic	com.cburch.logisim.std.tcl.TclGeneric
LIB	Builtin	BFH-Praktika	BFH mega functions
TOOL	BFH-Praktika	Binary_to_BCD_converter	Binary to BCD	Binary to BCD	com.cburch.logisim.std.bfh.BinToBcd
TOOL	BFH-Praktika	BCD_to_7_Segment_decoder	BCD to seven segment	BCD to seven segment	com.cburch.logisim.std.bfh.BcdToSevenSegmentDisplay
LIB	Builtin	Input/Output-Extra	Input/Output Extra
TOOL	Input/Output-Extra	Switch	Switch	Switch	com.cburch.logisim.std.io.extra.Switch
TOOL	Input/Output-Extra	Buzzer	Buzzer	Buzzer	com.cburch.logisim.std.io.extra.Buzzer
TOOL	Input/Output-Extra	Slider	Slider	Slider	com.cburch.logisim.std.io.extra.Slider
TOOL	Input/Output-Extra	Digital Oscilloscope	Digital oscilloscope	Digital oscilloscope	com.cburch.logisim.std.io.extra.DigitalOscilloscope
TOOL	Input/Output-Extra	PlaRom	PLA	PLA	com.cburch.logisim.std.io.extra.PlaRom
LIB	Builtin	Soc	System On a Chip
TOOL	Soc	Rv32im	Risc V IM simulator	Risc V IM simulator	com.cburch.logisim.soc.rv32im.Rv32imRiscV
TOOL	Soc	Nios2	Nios2s simulator	Nios2s simulator	com.cburch.logisim.soc.nios2.Nios2
TOOL	Soc	SocBus	SoC bus simulator	SoC bus simulator	com.cburch.logisim.soc.bus.SocBus
TOOL	Soc	Socmem	Memory simulator	Memory simulator	com.cburch.logisim.soc.memory.SocMemory
TOOL	Soc	SocPio	Parallel input/output expander	Parallel input/output expander	com.cburch.logisim.soc.pio.SocPio
TOOL	Soc	SocVga	VGA screen	VGA screen	com.cburch.logisim.soc.vga.SocVga
TOOL	Soc	SocDma	DMA engine	DMA engine	com.cburch.logisim.soc.dma.SocDma
TOOL	Soc	SocJtagUart	JTAG UART	JTAG UART	com.cburch.logisim.soc.jtaguart.JtagUart
